Algoritmo;Cenario;Execucao;Melhor_Fitness;Iter_Convergencia;Vizinhanca_Pct;Params
GA;GA_Padrao;1;111.25693421565002;0;62.5;{'name': 'GA_Padrao', 'pop': 40, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Padrao;2;114.42030010956414;0;55.00000000000001;{'name': 'GA_Padrao', 'pop': 40, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Padrao;3;7.373763918832085;0;2.5;{'name': 'GA_Padrao', 'pop': 40, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Padrao;4;-6.030683349974767;0;2.5;{'name': 'GA_Padrao', 'pop': 40, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Padrao;5;114.0787892051877;0;57.49999999999999;{'name': 'GA_Padrao', 'pop': 40, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Baixa;1;-44.0580632587916;0;5.0;{'name': 'GA_Pop_Baixa', 'pop': 20, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Baixa;2;114.28368303555344;0;65.0;{'name': 'GA_Pop_Baixa', 'pop': 20, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Baixa;3;-16.76626639112655;0;5.0;{'name': 'GA_Pop_Baixa', 'pop': 20, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Baixa;4;-78.23861413476386;0;10.0;{'name': 'GA_Pop_Baixa', 'pop': 20, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Baixa;5;-70.39881030753607;0;10.0;{'name': 'GA_Pop_Baixa', 'pop': 20, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Alta;1;35.77873333895839;0;1.25;{'name': 'GA_Pop_Alta', 'pop': 80, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Alta;2;-14.64449872807805;0;1.25;{'name': 'GA_Pop_Alta', 'pop': 80, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Alta;3;-12.165745683453013;0;1.25;{'name': 'GA_Pop_Alta', 'pop': 80, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
GA;GA_Pop_Alta;4;114.56654921394106;0;1.25;{'name': 'GA_Pop_Alta', 'pop': 80, 'gen': 200, 'mut': 0.1, 'cross': 0.7}
